,region_name,date,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Rectal pain,symptom:Shallow breathing,symptom:Ventricular fibrillation
92,Montana,2020-04-13,8.0,44.1409589112,49.0068913896,73.5103370844,95.0594666316,114.696979848,92.10515048399999,58.8256479978,68.64440460600001
93,Montana,2020-04-20,6.0,76.1170866264,38.1454349646,65.9507634126,74.1185786442,86.2834098402,77.1597864432,70.0346710284,84.284901858
94,Montana,2020-04-27,0.0,74.292361947,44.4016338654,74.292361947,64.0391470818,75.3350617638,90.8886673644,58.8256479978,51.6136409316
95,Montana,2020-05-04,1.0,38.1454349646,51.0922910232,66.6458966238,112.524688563,76.030194975,77.0728947918,61.4323975398,79.1582944254
96,Montana,2020-05-11,1.0,49.875807903600005,38.1454349646,66.47211332100001,73.7710120386,62.3013140538,87.2392180056,38.1454349646,108.0063226902
97,Montana,2020-05-18,2.0,64.9080635958,38.1454349646,63.865363779,94.7987916774,66.03765506399999,93.6692002092,54.307282125,58.564973043600006
98,Montana,2020-05-25,2.0,81.9388272702,38.1454349646,59.7814561632,110.6999638836,76.3777615806,77.5073530488,66.3852216696,87.4130013084
99,Montana,2020-06-01,2.0,49.7020246008,38.1454349646,61.6061808426,84.284901858,78.8976194712,70.2953459826,38.1454349646,70.2953459826
100,Montana,2020-06-08,8.0,64.9080635958,72.4676372676,38.1454349646,92.974066998,108.0932143416,77.8549196544,38.1454349646,81.0699107562
101,Montana,2020-06-15,12.0,66.2114383668,38.1454349646,56.392681758600006,80.2878858936,38.1454349646,86.8047597486,38.1454349646,88.9770510336
102,Montana,2020-06-22,8.0,73.7710120386,38.1454349646,51.0053993718,97.57932452220001,63.9522554304,38.1454349646,65.0818468986,81.3305857104
103,Montana,2020-06-29,15.0,58.3911897408,51.7874242344,58.3911897408,86.9785430514,67.16724653220001,75.9433033236,51.7874242344,80.374777545
104,Montana,2020-07-06,16.0,93.58230855779999,47.2690583616,62.0406390996,105.13889819399999,63.083338916399995,69.4264294686,49.4413496466,87.2392180056
105,Montana,2020-07-13,37.0,60.82415598,38.1454349646,60.82415598,73.423445433,47.1821667102,81.8519356188,86.02273488600001,70.2953459826
106,Montana,2020-07-20,34.0,75.9433033236,52.7432323998,50.5709411148,95.9283831456,71.685612405,68.5575129546,68.5575129546,76.9860031404
107,Montana,2020-07-27,34.0,65.16873855,67.2541381836,49.4413496466,105.13889819399999,57.869839832400004,96.7104080082,59.955239466,60.9979392828
108,Montana,2020-08-03,39.0,68.1230546976,38.1454349646,43.011367443000005,88.0212428682,46.1394668934,72.29385396480001,55.5237652446,57.6091648782
109,Montana,2020-08-10,54.0,66.9934632294,38.1454349646,48.1379748756,129.90301884299998,58.651864695,94.27744176899999,60.737264328600006,66.9934632294
110,Montana,2020-08-17,53.0,81.5912606646,49.962699555,38.1454349646,102.96660690899999,41.7948843234,71.3380457994,53.003907354,49.962699555
111,Montana,2020-08-24,53.0,50.049591206399995,48.0510832242,61.0848309342,99.1433742474,53.0907990054,87.06543470279999,42.0555592776,95.146358283
112,Montana,2020-08-31,54.0,68.4706213032,75.4219534152,43.6196090028,94.27744176899999,98.187566082,70.4691292854,41.6211010206,84.3717935094
113,Montana,2020-09-07,39.0,72.55452891899999,58.8256479978,103.9224150744,105.8340314052,99.92539911,75.4219534152,43.0982590944,77.4204613974
114,Montana,2020-09-14,45.0,66.7327882752,68.64440460600001,75.3350617638,84.89314341779999,102.0107987436,64.8211719444,38.1454349646,88.7163760794
115,Montana,2020-09-21,117.0,81.67815231600001,70.0346710284,94.27744176899999,99.1433742474,107.9194310388,104.9651148912,50.5709411148,106.9636228734
116,North Dakota,2020-03-09,0.0,22.726212964000005,46.43518108320001,48.707802379600004,36.54620733400001,39.4330506024,39.4330506024,23.217590541600003,35.379185587200006
117,North Dakota,2020-03-16,3.0,26.902922373600003,26.902922373600003,56.75411021280001,37.6518068836,58.5967761288,46.005225702800004,66.95019494800002,40.66149454640001
118,North Dakota,2020-03-23,14.0,29.482654656,36.300518545200006,68.60859427240001,36.85331832000001,112.83257625640002,41.39856091280001,69.1613940472,27.7628331344
119,North Dakota,2020-03-30,14.0,22.726212964000005,22.726212964000005,60.56228643920001,24.323190091200004,68.67001646960001,27.025766768000008,58.965309312,36.239096348000004
120,North Dakota,2020-04-06,8.0,24.446034485600002,22.726212964000005,45.57527032240001,22.726212964000005,58.965309312,22.787635161200004,38.38887325,47.295091844000005
121,North Dakota,2020-04-13,12.0,24.016079105200003,22.726212964000005,38.7574064332,36.607629531200004,62.28210796080001,28.377055106400004,38.7574064332,26.780077979200005
122,North Dakota,2020-04-20,20.0,22.726212964000005,24.200345696800003,51.71749004240001,22.726212964000005,46.680869872,32.0623869384,44.408248575600005,38.818828630400006
123,North Dakota,2020-04-27,19.0,27.639988740000003,22.726212964000005,28.807010486800007,35.6862965732,43.73260440640001,42.627004856800006,22.726212964000005,34.51927482640001
124,North Dakota,2020-05-04,20.0,22.726212964000005,22.726212964000005,27.2100333596,22.726212964000005,58.90388711480001,33.41367527680001,35.6862965732,27.7628331344
125,North Dakota,2020-05-11,20.0,22.726212964000005,22.726212964000005,32.799453304800004,26.350122598800002,40.415805757600005,41.0300277296,35.747718770400006,30.465409811200004
126,North Dakota,2020-05-18,22.0,30.0354544308,22.726212964000005,27.517144345600006,35.6862965732,26.288700401600003,37.528962489200005,31.939542544000005,22.726212964000005
127,North Dakota,2020-05-25,15.0,25.797322824000005,22.726212964000005,40.66149454640001,28.377055106400004,22.726212964000005,38.081762264000005,22.726212964000005,25.797322824000005
128,North Dakota,2020-06-01,16.0,34.1507416432,22.726212964000005,34.7649636152,22.726212964000005,22.726212964000005,39.863005982800004,31.018209586000005,46.80371426640001
129,North Dakota,2020-06-08,14.0,31.325320572000003,22.726212964000005,36.976162714400004,35.6862965732,26.288700401600003,29.421232458800006,47.60220283,46.98798085800001
130,North Dakota,2020-06-15,19.0,32.0009647412,22.726212964000005,42.87269364560001,32.0009647412,22.726212964000005,28.807010486800007,34.51927482640001,26.2272782044
131,North Dakota,2020-06-22,10.0,28.991277078400003,22.726212964000005,22.726212964000005,22.726212964000005,35.379185587200006,28.315632909200005,22.726212964000005,44.408248575600005
132,North Dakota,2020-06-29,16.0,22.726212964000005,22.726212964000005,22.726212964000005,22.726212964000005,22.726212964000005,22.726212964000005,22.726212964000005,38.02034006680001
133,North Dakota,2020-07-06,29.0,25.6130562324,22.726212964000005,22.726212964000005,30.158298825200006,22.726212964000005,38.450295447200006,46.80371426640001,29.482654656
134,North Dakota,2020-07-13,31.0,32.983719896400004,25.367367443600003,22.726212964000005,25.367367443600003,36.791896122800004,32.983719896400004,29.175543670000003,32.983719896400004
